Date,Mkt-RF,SMB,HML,RF
2019-08-27,-4.6e-05,-8.800000000000001e-05,-6.8e-05,7.000000000000001e-07
2019-08-28,6.8e-05,4.699999999999999e-05,6.2e-05,7.000000000000001e-07
2019-08-29,0.00013500000000000003,3.1e-05,3.4e-05,7.000000000000001e-07
2019-08-30,2.9999999999999997e-06,-3.8e-05,2.3e-05,7.000000000000001e-07
2019-09-03,-8.7e-05,-9.499999999999999e-05,1e-05,9e-07
2019-09-04,0.00010800000000000001,-2.2000000000000003e-05,4.3e-05,9e-07
2019-09-05,0.00014199999999999998,4.0999999999999994e-05,7.099999999999999e-05,9e-07
2019-09-06,-2e-06,-3.9e-05,4e-06,9e-07
2019-09-09,7.000000000000001e-06,7.400000000000001e-05,0.000307,9e-07
2019-09-10,1.7e-05,0.000106,0.000113,9e-07
2019-09-11,8.800000000000001e-05,0.000133,-4e-06,9e-07
2019-09-12,2.2000000000000003e-05,-3e-05,-1.3e-05,9e-07
2019-09-13,-1e-06,1e-06,7.400000000000001e-05,9e-07
2019-09-16,-2.3e-05,9e-05,5.3e-05,9e-07
2019-09-17,1.7e-05,-5.9e-05,-0.00012,9e-07
2019-09-18,-5e-06,-7.6e-05,5e-06,9e-07
2019-09-19,-5e-06,-4.3e-05,-4.6e-05,9e-07
2019-09-20,-4.7999999999999994e-05,2.8999999999999997e-05,1.5e-05,9e-07
2019-09-23,-2e-06,-1.7e-05,5.1000000000000006e-05,9e-07
2019-09-24,-0.000101,-7.3e-05,0.0,9e-07
2019-09-25,6.9e-05,3.6e-05,5.3e-05,9e-07
2019-09-26,-4.0999999999999994e-05,-9.599999999999999e-05,1.1000000000000001e-05,9e-07
2019-09-27,-6.2e-05,-3.4e-05,8.9e-05,9e-07
2019-09-30,5e-05,-1.7e-05,-4.7999999999999994e-05,9e-07
2019-10-01,-0.000131,-4.6e-05,-5.9e-05,7.000000000000001e-07
2019-10-02,-0.000173,8.9e-05,-3.6e-05,7.000000000000001e-07
2019-10-03,8e-05,-2.3e-05,-8.9e-05,7.000000000000001e-07
2019-10-04,0.000139,-4.6e-05,-7.000000000000001e-06,7.000000000000001e-07
2019-10-07,-4.0999999999999994e-05,1.5e-05,-2e-06,7.000000000000001e-07
2019-10-08,-0.000161,-1.3e-05,-1.3e-05,7.000000000000001e-07
2019-10-09,9.2e-05,-5.500000000000001e-05,-9e-06,7.000000000000001e-07
2019-10-10,5.9e-05,-4e-05,2.6e-05,7.000000000000001e-07
2019-10-11,0.000123,4.699999999999999e-05,2e-05,7.000000000000001e-07
2019-10-14,-1.8e-05,-3.4e-05,-4e-06,7.000000000000001e-07
2019-10-15,0.000103,2.5e-05,-2.5e-05,7.000000000000001e-07
2019-10-16,-2.3999999999999997e-05,4e-05,2.3e-05,7.000000000000001e-07
2019-10-17,3.7000000000000005e-05,8e-05,-2.8999999999999997e-05,7.000000000000001e-07
2019-10-18,-4.9e-05,-3.6e-05,8.6e-05,7.000000000000001e-07
2019-10-21,7.099999999999999e-05,1.6e-05,3.6e-05,7.000000000000001e-07
2019-10-22,-3.4e-05,2.3e-05,8.6e-05,7.000000000000001e-07
2019-10-23,2.5e-05,-9e-06,2.6e-05,7.000000000000001e-07
2019-10-24,2.5e-05,-2.6e-05,-8.9e-05,7.000000000000001e-07
2019-10-25,5.1000000000000006e-05,2.8000000000000003e-05,8e-06,7.000000000000001e-07
2019-10-28,6.2e-05,2.7000000000000002e-05,-2.3999999999999997e-05,7.000000000000001e-07
2019-10-29,-1.3e-05,3e-05,5e-05,7.000000000000001e-07
2019-10-30,2.7000000000000002e-05,-3.7000000000000005e-05,-0.00011599999999999999,7.000000000000001e-07
2019-10-31,-3.8e-05,-2.6e-05,-4.3e-05,7.000000000000001e-07
2019-11-01,0.00010800000000000001,4.7999999999999994e-05,8.4e-05,6e-07
2019-11-04,4e-05,1e-06,0.000136,6e-07
2019-11-05,-2.9999999999999997e-06,2.3999999999999997e-05,4.5e-05,6e-07
2019-11-06,-5e-06,-7.2e-05,2.3999999999999997e-05,6e-07
2019-11-07,3.8e-05,-1.5e-05,5.2e-05,6e-07
2019-11-08,3.1e-05,7.000000000000001e-06,-3.6e-05,6e-07
2019-11-11,-1.9e-05,0.0,-1.9e-05,6e-07
2019-11-12,1.6e-05,-1.1000000000000001e-05,-1.5e-05,6e-07
2019-11-13,1e-06,-2.1e-05,-8.199999999999999e-05,6e-07
2019-11-14,7.000000000000001e-06,-1.1000000000000001e-05,-2.5e-05,6e-07
2019-11-15,7.400000000000001e-05,-2.6e-05,-3.3e-05,6e-07
2019-11-18,2e-06,-3.5e-05,-5.2e-05,6e-07
2019-11-19,2e-06,5.7999999999999994e-05,-9.499999999999999e-05,6e-07
2019-11-20,-3.3e-05,0.0,-4.6e-05,6e-07
2019-11-21,-1.4000000000000001e-05,-3.5e-05,1e-05,6e-07
2019-11-22,2.3999999999999997e-05,5.999999999999999e-06,2.2000000000000003e-05,6e-07
2019-11-25,9.2e-05,0.000132,-3.7000000000000005e-05,6e-07
2019-11-26,1.9e-05,5.999999999999999e-06,-9e-05,6e-07
2019-11-27,4.4000000000000006e-05,2.3e-05,-2.9999999999999997e-06,6e-07
2019-11-29,-4.2e-05,-4e-06,-3.1e-05,6e-07
2019-12-02,-8.7e-05,-2.5e-05,4.7999999999999994e-05,7.000000000000001e-07
2019-12-03,-6.6e-05,6e-05,-8.3e-05,7.000000000000001e-07
2019-12-04,6e-05,1.3e-05,2.5e-05,7.000000000000001e-07
2019-12-05,1.3e-05,-2.1e-05,4.699999999999999e-05,7.000000000000001e-07
2019-12-06,9.1e-05,2.3999999999999997e-05,3.7000000000000005e-05,7.000000000000001e-07
2019-12-09,-3.3e-05,3.7000000000000005e-05,1.1000000000000001e-05,7.000000000000001e-07
2019-12-10,-8e-06,3.1e-05,-8e-06,7.000000000000001e-07
2019-12-11,2.8000000000000003e-05,-7.000000000000001e-06,1.4000000000000001e-05,7.000000000000001e-07
2019-12-12,9e-05,-1.4000000000000001e-05,0.000115,7.000000000000001e-07
2019-12-13,-2.9999999999999997e-06,-2.7000000000000002e-05,-5.500000000000001e-05,7.000000000000001e-07
