ticker,general_sentiment,ai_sentiment,combined_sentiment,sector
GOOG,-0.9372020839755215,-0.9239338488443524,-0.9305679664099369,Technology
GOOGL,-0.8956730315089225,-0.9231234840351901,-0.9093982577720563,Technology
GS,-0.8308015268319732,-0.7940028851059662,-0.8124022059689697,Financial
GWLLY,-0.9759948946708856,-0.9266408554145268,-0.9513178750427063,EV
HBAN,-0.8538301049494276,-0.9986332257588705,-0.926231665354149,Financial
HSBC,-0.7570699493424231,-0.7789630354461023,-0.7680164923942627,Financial
HYLN,-0.9989603253511282,-0.9974093586206436,-0.9981848419858859,EV
HYMTF,-0.9055981024847193,-0.9703772954824494,-0.9379876989835844,EV
IBM,-0.7249133436885101,-0.839285348751107,-0.7820993462198086,Technology
INTC,-0.80829220443964,-0.8799572059365569,-0.8441247051880985,Technology
JPM,-0.8273065756566776,-0.8873902040642577,-0.8573483898604677,Financial
KEY,-0.8118938697596728,-0.8209514471949363,-0.8164226584773046,Financial
KIMTF,-0.9397632378339768,-0.998452776670456,-0.9691080072522164,EV
LCID,-0.6318871716482449,-0.7801309404549776,-0.7060090560516112,EV
LI,-0.8300850875357277,-0.8444361147426424,-0.837260601139185,EV
LYFT,-0.7540716978026109,-0.8451109440238388,-0.7995913209132248,Technology
MAHMF,-0.8404241862893105,-0.9533280835432165,-0.8968761349162635,EV
MBGYY,-0.9578564894887117,-0.9543885204527113,-0.9561225049707115,EV
META,-0.7924503436684609,-0.8452824676229108,-0.8188664056456858,Technology
MS,-0.7714154374599457,-0.7109968417457172,-0.7412061396028314,Financial
MSFT,-0.87551956564188,-0.8369209707686396,-0.8562202682052598,Technology
MTB,-0.7901901124521743,-0.999349045753479,-0.8947695791028267,Financial
MU,-0.7332690808609241,-0.7906546498599806,-0.7619618653604523,Technology
NBHC,-0.9340699205704786,-0.9983783121462222,-0.9662241163583504,Financial
NET,-0.7595130454849552,-0.832528368993239,-0.7960207072390971,Technology
NIO,-0.6412258238221208,-0.6740197592706823,-0.6576227915464015,EV
NKLA,-0.9626760921057533,-0.999724543094635,-0.9812003176001942,EV
NOW,-0.8364542916417121,-0.7416683930948557,-0.789061342368284,Technology
NSANY,-0.9735045076530671,-0.9581306452552477,-0.9658175764541574,EV
NTRS,-0.8667102203649633,-0.8135576941529099,-0.8401339572589366,Financial
NVDA,-0.7007104614377022,-0.8183950251340866,-0.7595527432858944,Technology
ORCL,-0.8779861468171316,-0.7728021653259501,-0.8253941560715409,Technology
PNC,-0.8322372090431952,-0.9956991523504257,-0.9139681806968105,Financial
POAHY,-0.9679615234627443,-0.9350915756076574,-0.9515265495352009,EV
PSNY,-0.9540120561917623,-0.7769117440496173,-0.8654619001206898,EV
QCOM,-0.7419643541177113,-0.8139601161337306,-0.7779622351257209,Technology
RF,-0.8274417970944377,-0.9290376591682434,-0.8782397281313405,Financial
RIVN,-0.7859115509523286,-0.8770384332165122,-0.8314749920844204,EV
RNLSY,-0.958551859971389,-0.908796941692179,-0.933674400831784,EV
RY,-0.7328343138302842,-0.8217592712329782,-0.7772967925316312,Financial
SAIC,-0.8131687336189802,-0.8561467102595738,-0.834657721939277,EV
SAN,-0.8638079476683107,-0.9044764974424916,-0.8841422225554012,Financial
SCHW,-0.8633394468989637,-0.8942668881171789,-0.8788031675080713,Financial
SHOP,-0.7914621912095011,-0.7428619751985046,-0.7671620832040029,Technology
SNAP,-0.8611806788865257,-0.8029003212326451,-0.8320405000595854,Technology
SNOW,-0.8614550115246522,-0.7445972283040324,-0.8030261199143423,Technology
SQ,-0.9793612417720613,-0.8791155527035396,-0.9292383972378004,Technology
STLA,-0.8989857886288617,-0.9184776129144611,-0.9087317007716613,EV
STT,-0.8783503448963166,-0.8803753620487148,-0.8793628534725157,Financial
SYF,-0.8876195462311015,-0.9999550538403648,-0.9437873000357331,Financial
TATAMOTORS.NS,-0.8623891985416412,-0.9927264899015427,-0.9275578442215919,EV
TD,-0.7465873816669387,-0.8941495792071025,-0.8203684804370206,Financial
TFC,-0.7308153072182013,-0.6670204791155728,-0.6989178931668871,Financial
TSLA,-0.6253780189156533,-0.7501748288627219,-0.6877764238891876,EV
TSM,-0.7573931217193604,-0.81535261225056,-0.7863728669849601,Technology
TXN,-0.8415577481774723,-0.8151220067551261,-0.8283398774662992,Technology
UBER,-0.883624388353668,-0.8318648032016225,-0.8577445957776453,Technology
USB,-0.8378847556955674,-0.7953414803948896,-0.8166131180452285,Financial
